,stopName,stopDesc,zoneId,zoneName,stopLat,stopLon
712,Sobieszewska Pastwa 1,Sobieszewska Pastwa 1 (N/Ż),1.0,Gdańsk,54.3191,18.86565
713,Wieniecka,Wieniecka (N/Ż),1.0,Gdańsk,54.32437,18.85465
714,Sobieszewko,Sobieszewko (N/Ż),1.0,Gdańsk,54.32853,18.84396
715,Sobieszewko Ośrodek,Sobieszewko Ośrodek (N/Ż),1.0,Gdańsk,54.33512,18.84007
716,Osiedle Świętokrzyskie,Osiedle Świętokrzyskie (N/Ż),1.0,Gdańsk,54.31376,18.57109
717,Osiedle Świętokrzyskie,Osiedle Świętokrzyskie,1.0,Gdańsk,54.31411,18.56983
718,Elfów,Elfów,1.0,Gdańsk,54.31564,18.56977
719,Baśniowa,Baśniowa,1.0,Gdańsk,54.31928,18.56434
720,,Sobieskiego - Przychodnia,,,54.43926,18.56749
721,Rębowo,Rębowo,1.0,Gdańsk,54.32246,18.55881
722,Leszczynowa,Leszczynowa,1.0,Gdańsk,54.33093,18.55856
723,Lawendowe Wzgórze,Lawendowe Wzgórze,1.0,Gdańsk,54.33164,18.56393
724,,Sienkiewicza ,,,54.454,18.54882
725,Twierdza Wisłoujście,Twierdza Wisłoujście (N/Ż),1.0,Gdańsk,54.39143,18.6797
726,Wilanowska,Wilanowska,1.0,Gdańsk,54.33662,18.59828
727,Jeleniogórska,Jeleniogórska,1.0,Gdańsk,54.32865,18.58257
728,Węzeł Harfa,Węzeł Harfa (N/Ż),1.0,Gdańsk,54.392,18.63875
729,AmberExpo,AmberExpo,1.0,Gdańsk,54.3874,18.63584
730,,Schronisko Sopotkowo,,,54.45283,18.54097
731,Żaglowa - AmberExpo,Żaglowa - AmberExpo (N/Ż),1.0,Gdańsk,54.3841,18.64073
732,Żaglowa - AmberExpo,Żaglowa - AmberExpo (N/Ż) ,1.0,Gdańsk,54.38404,18.64132
733,Brama Oliwska,Brama Oliwska,1.0,Gdańsk,54.36207,18.64164
734,Chodowieckiego,Chodowieckiego,1.0,Gdańsk,54.36404,18.63837
735,Politechnika,Politechnika,1.0,Gdańsk,54.37398,18.62142
736,Miszewskiego,Miszewskiego,1.0,Gdańsk,54.37577,18.61514
737,Klonowa,Klonowa,1.0,Gdańsk,54.37985,18.60306
738,,Architektów,,,54.43256,18.57361
739,Zajezdnia,Zajezdnia,1.0,Gdańsk,54.38843,18.58156
740,Tetmajera,Tetmajera,1.0,Gdańsk,54.40265,18.56561
741,Derdowskiego,Derdowskiego,1.0,Gdańsk,54.40513,18.56388
742,,Mazowiecka,,,54.45881,18.55046
743,Obrońców Westerplatte,Obrońców Westerplatte,1.0,Gdańsk,54.40836,18.56297
744,Opacka,Opacka,1.0,Gdańsk,54.41388,18.56568
745,Subisława,Subisława,1.0,Gdańsk,54.41673,18.57344
746,Osiedle Wejhera,Osiedle Wejhera,1.0,Gdańsk,54.42037,18.58446
747,Helska,Helska,1.0,Gdańsk,54.42154,18.58808
748,Plac Solidarności,Plac Solidarności,1.0,Gdańsk,54.36061,18.64771
749,Stocznia SKM,Stocznia SKM,1.0,Gdańsk,54.36421,18.64324
750,Stocznia Północna,Stocznia Północna,1.0,Gdańsk,54.37192,18.63385
751,Twarda,Twarda,1.0,Gdańsk,54.37445,18.63121
752,Wyspiańskiego,Wyspiańskiego,1.0,Gdańsk,54.3766,18.62351
753,Reja,Reja,1.0,Gdańsk,54.37901,18.62256
754,Plac Komorowskiego,Plac Komorowskiego,1.0,Gdańsk,54.38366,18.61453
755,Bajana,Bajana,1.0,Gdańsk,54.39,18.60821
756,Żwirki i Wigury,Żwirki i Wigury,1.0,Gdańsk,54.3921,18.60579
757,Jana Pawła II,Jana Pawła II,1.0,Gdańsk,54.39464,18.60158
758,Okopowa,Okopowa,1.0,Gdańsk,54.3475,18.64661
759,Chmielna,Chmielna,1.0,Gdańsk,54.34533,18.65749
760,Gościnna,Orunia Gościnna,1.0,Gdańsk,54.32294,18.63215
761,Zimna,Zimna,1.0,Gdańsk,54.36135,18.70749
762,Nowe Ogrody,Nowe Ogrody,1.0,Gdańsk,54.35204,18.64215
763,Osiedle Barniewice,Osiedle Barniewice,1.0,Gdańsk,54.41227,18.45146
764,Dworzec PKS,Dworzec PKS,1.0,Gdańsk,54.35677,18.64344
765,Chmielna,Chmielna (N/Ż),1.0,Gdańsk,54.34531,18.65676
766,Powstańców Warszawskich,Powstańców Warszawskich,1.0,Gdańsk,54.35115,18.63639
