,stopName,stopDesc,zoneId,zoneName,stopLat,stopLon,coord,time_sec,color
375,Marynarki Polskiej,Marynarki Polskiej,1.0,Gdańsk,54.39788000000001,18.66658,"54.39788000000001, 18.66658",3870,black
316,Nowy Port Zajezdnia,Nowy Port Zajezdnia,1.0,Gdańsk,54.39793,18.67325,"54.39793, 18.67325",3900,black
354,Plac Wolności,Plac Wolności,1.0,Gdańsk,54.39908000000001,18.66984,"54.39908000000001, 18.66984",3840,black
369,Bażyńskiego,Bażyńskiego (N/Ż),1.0,Gdańsk,54.39951,18.56777,"54.39951, 18.56777",1615,blue
317,Władysława IV,Władysława IV,1.0,Gdańsk,54.39988,18.67514,"54.39988, 18.67514",4103,black
306,Leszczyńskich,Leszczyńskich ,1.0,Gdańsk,54.4,18.60797,"54.4, 18.60797",1980,yellow
315,Wyzwolenia,Wyzwolenia,1.0,Gdańsk,54.40049000000001,18.66096,"54.40049000000001, 18.66096",4166,black
351,al. Płażyńskiego,Aleja Płażyńskiego,1.0,Gdańsk,54.40128000000001,18.62199,"54.40128000000001, 18.62199",2456,yellow
314,Zespół Szkół Morskich,Zespół Szkół Morskich,1.0,Gdańsk,54.40355,18.65393,"54.40355, 18.65393",3757,black
302,Krynicka,Przymorze Krynicka,1.0,Gdańsk,54.40362,18.58799,"54.40362, 18.58799",1965,yellow
312,Dworska,Dworska,1.0,Gdańsk,54.40416,18.6272,"54.40416, 18.6272",2897,red
301,Kołobrzeska,Kołobrzeska,1.0,Gdańsk,54.40428000000001,18.5934,"54.40428000000001, 18.5934",1862,yellow
313,PCK,PCK,1.0,Gdańsk,54.40442,18.63252,"54.40442, 18.63252",2752,red
300,Opolska,Opolska,1.0,Gdańsk,54.40513000000001,18.59784,"54.40513000000001, 18.59784",2059,yellow
353,Krasickiego,Krasickiego (N/Ż),1.0,Gdańsk,54.40599,18.64456,"54.40599, 18.64456",3262,red
367,Obrońców Westerplatte,Obrońców Westerplatte (N/Ż),1.0,Gdańsk,54.40824,18.56284,"54.40824, 18.56284",1714,blue
303,Chłopska,Chłopska ,1.0,Gdańsk,54.40824,18.59106,"54.40824, 18.59106",1865,yellow
304,Obrońców Wybrzeża,Obrońców Wybrzeża ,1.0,Gdańsk,54.40886,18.59432,"54.40886, 18.59432",2032,yellow
318,Cystersów,Cystersów,1.0,Gdańsk,54.409,18.55554,"54.409, 18.55554",2380,yellow
305,Przymorze Wielkie,Przymorze Wielkie,1.0,Gdańsk,54.41053,18.60316,"54.41053, 18.60316",2429,yellow
339,Archikatedra Oliwska,Archikatedra Oliwska (N/Ż),1.0,Gdańsk,54.41078,18.55705,"54.41078, 18.55705",2458,yellow
319,Karwieńska,Karwieńska (N/Ż),1.0,Gdańsk,54.41139,18.54686,"54.41139, 18.54686",2913,red
330,Droszyńskiego,Droszyńskiego,1.0,Gdańsk,54.41254,18.57364,"54.41254, 18.57364",2123,yellow
332,Cmentarz Oliwski,Cmentarz Oliwski,1.0,Gdańsk,54.41346,18.55714,"54.41346, 18.55714",2383,yellow
386,Opacka,Opacka (N/Ż),1.0,Gdańsk,54.413880000000006,18.56595,"54.413880000000006, 18.56595",1887,yellow
329,Poznańska,Poznańska (N/Ż),1.0,Gdańsk,54.41437,18.57934,"54.41437, 18.57934",2277,yellow
331,Sarnia,Sarnia,1.0,Gdańsk,54.41611,18.55858,"54.41611, 18.55858",2313,yellow
389,Przesypownia,Przesypownia (N/Ż),1.0,Gdańsk,54.41672,18.45959,"54.41672, 18.45959",2809,red
311,Piastowska,Piastowska,1.0,Gdańsk,54.41678,18.58688,"54.41678, 18.58688",1800,yellow
328,Tysiąclecia,Tysiąclecia,1.0,Gdańsk,54.41737,18.5921,"54.41737, 18.5921",2103,yellow
346,Pomorska - Osiedle,Pomorska - Osiedle,1.0,Gdańsk,54.418,18.57803,"54.418, 18.57803",2331,yellow
327,Nowy Świat,Nowy Świat,1.0,Gdańsk,54.41877,18.45044,"54.41877, 18.45044",2425,yellow
387,Górskiego,Górskiego,1.0,Gdańsk,54.41877,18.56521,"54.41877, 18.56521",2021,yellow
310,Pomorska,Pomorska,1.0,Gdańsk,54.41925,18.58414,"54.41925, 18.58414",2055,yellow
333,Bobrowa,Bobrowa (N/Ż),1.0,Gdańsk,54.41945,18.5605,"54.41945, 18.5605",2476,yellow
336,Koziorożca,Koziorożca,1.0,Gdańsk,54.41979,18.4706,"54.41979, 18.4706",2931,red
